holding_period_months,n_positions,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,turnover,n_positions_avg
1,5,0.09500755400143412,0.28308007389347617,0.46291849406065866,0.5045436628242989,0.7098031494980411,0.08847220388221312,10.0
1,10,0.06050327709858094,0.2280395105846838,0.3724029761452437,0.39273572147153646,0.6602602069826349,0.08070777763105771,20.0
1,20,0.02305831584810436,0.18989227132574096,0.21589854479411683,0.21857580794974585,0.6204039265968982,0.07220388221312558,40.0
1,30,0.020893950862013844,0.1706227329397061,0.20732856037873204,0.2078439533375461,0.5814318879047755,0.06706281086315419,60.0
1,50,0.00957499604787726,0.1482835546818397,0.13900000667422097,0.1385459073762665,0.5057826385029276,0.05981249174699591,100.0
3,5,-0.00977448481807941,0.2785654481883618,0.10548536375260822,0.1090532477831722,0.854509281313374,0.03607553149346362,10.0
3,10,0.009268185480415081,0.22043546341593484,0.15278326565558148,0.1604940732192545,0.8025834447615086,0.03340816057044764,20.0
3,20,0.018103434610960756,0.18259870065404454,0.19002413704667215,0.1989537928235513,0.6278958481756742,0.03097847616532418,40.0
3,30,0.015199004693507545,0.16424248464130153,0.174367156490193,0.1805146828952715,0.5845344253496887,0.02957876667106827,60.0
3,50,0.013264750345604481,0.14232353288233765,0.16415101909951513,0.16673706149328266,0.5018474441247573,0.027164928033804304,100.0
6,5,-0.02234821629962347,0.2502976182172536,0.035348235852426566,0.0383721773002056,0.7253659356736609,0.020018486729169418,10.0
6,10,0.006559533582523036,0.20472427767904142,0.13469512439857056,0.14548057994489935,0.5737022000644014,0.019199788723095208,20.0
6,20,0.019076668981736544,0.16975617060992376,0.19656112430504719,0.2091208159155984,0.5151621389870852,0.018050970553281392,40.0
6,30,0.004359142101383107,0.15511047022061872,0.10597822244131326,0.11017208012139038,0.514988800815101,0.01736872221488622,60.0
6,50,0.008825896632506991,0.1364987330247911,0.13291257498081666,0.13646932424216943,0.5031181879332456,0.016252475901228046,100.0
12,5,-0.005410730639888284,0.22463803997008855,0.08874030354286072,0.09422991761331757,0.7463923622800851,0.010088472203882214,10.0
12,10,-0.0031254587733153816,0.1992615910026767,0.08554212220749197,0.08809607434577131,0.6285571226750539,0.010062062590783046,20.0
12,20,0.015657285664608445,0.16202726030781084,0.17727960264057716,0.18769840090077938,0.5033488171394214,0.009903604912188037,40.0
12,30,0.01109668180303669,0.14546415629816567,0.14874570708323812,0.15943605368738029,0.5191078636388062,0.009692328007394693,60.0
12,50,0.005955825779440316,0.1296669261998862,0.11076256768881305,0.1162110181245557,0.5156723866705748,0.00929618381090717,100.0
